Project Name,Street Name,Postal District,Property Type,No of Bedroom,Monthly Rent ($),Floor Area (SQM),Floor Area (SQFT),Lease Commencement Date
DOVER PARKVIEW,DOVER RISE,05,Non-Landed Properties,4,"6,500",180 to 190,"1,900 to 2,000",Sep-23
SKYSUITES@ANSON,ENGGOR STREET,02,Non-Landed Properties,2,"5,700",60 to 70,600 to 700,Sep-23
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,3,"7,000",110 to 120,"1,200 to 1,300",Sep-23
RIVIERE,JIAK KIM STREET,03,Non-Landed Properties,3,"8,800",110 to 120,"1,200 to 1,300",Sep-23
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,3,"6,000",80 to 90,"900 to 1,000",Sep-23
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,2,"5,850",80 to 90,800 to 900,Sep-23
MONTEREY PARK CONDOMINIUM,WEST COAST RISE,05,Non-Landed Properties,4,"6,800",150 to 160,"1,600 to 1,700",Sep-23
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,Non-Landed Properties,2,"7,600",90 to 100,"1,000 to 1,100",Sep-23
TWIN REGENCY,KIM TIAN ROAD,03,Non-Landed Properties,4,"7,500",160 to 170,"1,700 to 1,800",Sep-23
ONE-NORTH RESIDENCES,ONE-NORTH GATEWAY,05,Non-Landed Properties,3,"6,700",130 to 140,"1,400 to 1,500",Sep-23
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,OCEAN WAY,04,Non-Landed Properties,3,"10,200",160 to 170,"1,700 to 1,800",Sep-23
RIVIERE,JIAK KIM STREET,03,Non-Landed Properties,2,"6,800",70 to 80,800 to 900,Sep-23
THE ROCHESTER RESIDENCES,ROCHESTER DRIVE,05,Non-Landed Properties,2,"6,500",110 to 120,"1,200 to 1,300",Sep-23
TANGLIN VIEW,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,3,"6,000",100 to 110,"1,100 to 1,200",Sep-23
THE ANCHORAGE,ALEXANDRA ROAD,03,Non-Landed Properties,2,"5,000",110 to 120,"1,200 to 1,300",Sep-23
CLEMENTIWOODS CONDOMINIUM,WEST COAST ROAD,05,Non-Landed Properties,4,"7,500",150 to 160,"1,600 to 1,700",Sep-23
V ON SHENTON,SHENTON WAY,01,Non-Landed Properties,1,"3,900",40 to 50,500 to 600,Sep-23
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,1,"4,000",40 to 50,400 to 500,Sep-23
BLUE HORIZON,WEST COAST CRESCENT,05,Non-Landed Properties,2,"4,300",80 to 90,"900 to 1,000",Sep-23
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,2,"4,700",70 to 80,700 to 800,Sep-23
THE METROPOLITAN CONDOMINIUM,ALEXANDRA VIEW,03,Non-Landed Properties,4,"8,800",160 to 170,"1,700 to 1,800",Sep-23
THE TRILINQ,JALAN LEMPENG,05,Non-Landed Properties,2,"5,200",100 to 110,"1,100 to 1,200",Sep-23
RIVIERE,JIAK KIM STREET,03,Non-Landed Properties,2,"6,500",70 to 80,800 to 900,Sep-23
ONE SHENTON,SHENTON WAY,01,Non-Landed Properties,1,"5,800",90 to 100,"1,000 to 1,100",Sep-23
SPOTTISWOODE 18,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"3,300",30 to 40,300 to 400,Sep-23
EMERALD GARDEN,CLUB STREET,01,Non-Landed Properties,3,"6,000",110 to 120,"1,200 to 1,300",Sep-23
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,2,"10,000",100 to 110,"1,100 to 1,200",Sep-23
SKYSUITES@ANSON,ENGGOR STREET,02,Non-Landed Properties,NA,"3,450",30 to 40,300 to 400,Sep-23
THE COAST AT SENTOSA COVE,OCEAN DRIVE,04,Non-Landed Properties,4,"13,000",240 to 250,"2,600 to 2,700",Sep-23
WHITEHAVEN,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"3,200",50 to 60,500 to 600,Sep-23
NON-LANDED HOUSING DEVELOPMENT,LIM TECK KIM ROAD,02,Non-Landed Properties,NA,"4,500",80 to 90,"900 to 1,000",Sep-23
NON-LANDED HOUSING DEVELOPMENT,PASIR PANJANG ROAD,05,Non-Landed Properties,NA,"2,800",60 to 70,700 to 800,Sep-23
ONE-NORTH RESIDENCES,ONE-NORTH GATEWAY,05,Non-Landed Properties,1,"2,600",50 to 60,500 to 600,Sep-23
THE VERANDAH RESIDENCES,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"4,000",60 to 70,600 to 700,Sep-23
THE ESTRELLA,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"4,500",110 to 120,"1,200 to 1,300",Sep-23
HUNDRED TREES,WEST COAST DRIVE,05,Non-Landed Properties,2,"4,700",80 to 90,"900 to 1,000",Sep-23
RIVIERE,JIAK KIM STREET,03,Non-Landed Properties,2,"7,000",70 to 80,800 to 900,Sep-23
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"5,000",60 to 70,600 to 700,Sep-23
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,2,"4,600",80 to 90,800 to 900,Sep-23
CAPE ROYALE,COVE WAY,04,Non-Landed Properties,4,"13,800",230 to 240,"2,500 to 2,600",Sep-23
CAPE ROYALE,COVE WAY,04,Non-Landed Properties,3,"9,300",170 to 180,"1,900 to 2,000",Sep-23
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,3,"11,500",140 to 150,"1,500 to 1,600",Sep-23
SKYSUITES@ANSON,ENGGOR STREET,02,Non-Landed Properties,1,"3,500",30 to 40,300 to 400,Sep-23
TIONG BAHRU ESTATE,TIONG POH ROAD,03,Non-Landed Properties,NA,"5,000",70 to 80,800 to 900,Sep-23
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,Non-Landed Properties,3,"18,000",180 to 190,"1,900 to 2,000",Sep-23
V ON SHENTON,SHENTON WAY,01,Non-Landed Properties,2,"5,800",80 to 90,"900 to 1,000",Sep-23
MERAPRIME,JALAN BUKIT HO SWEE,03,Non-Landed Properties,3,"7,500",100 to 110,"1,100 to 1,200",Sep-23
THE COAST AT SENTOSA COVE,OCEAN DRIVE,04,Non-Landed Properties,3,"10,300",170 to 180,"1,900 to 2,000",Sep-23
BOTANNIA,WEST COAST PARK,05,Non-Landed Properties,3,"6,000",150 to 160,"1,600 to 1,700",Sep-23
REGENCY SUITES,KIM TIAN ROAD,03,Non-Landed Properties,3,"7,650",130 to 140,"1,400 to 1,500",Sep-23
WHISTLER GRAND,WEST COAST VALE,05,Non-Landed Properties,2,"4,500",50 to 60,600 to 700,Sep-23
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,2,"4,500",60 to 70,600 to 700,Sep-23
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,1,"4,300",40 to 50,400 to 500,Sep-23
V ON SHENTON,SHENTON WAY,01,Non-Landed Properties,1,"4,600",40 to 50,500 to 600,Sep-23
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,4,"8,500",120 to 130,"1,300 to 1,400",Sep-23
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,2,"5,700",70 to 80,700 to 800,Sep-23
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,Non-Landed Properties,4,"19,000",220 to 230,"2,300 to 2,400",Sep-23
RIVER PLACE,HAVELOCK ROAD,03,Non-Landed Properties,2,"5,150",90 to 100,"1,000 to 1,100",Sep-23
TIONG BAHRU ESTATE,TIONG POH ROAD,03,Non-Landed Properties,NA,"4,700",70 to 80,800 to 900,Sep-23
ALEXIS,ALEXANDRA ROAD,03,Non-Landed Properties,1,"3,100",30 to 40,300 to 400,Sep-23
PEOPLE'S PARK COMPLEX,PARK ROAD,01,Non-Landed Properties,1,"2,100",30 to 40,400 to 500,Sep-23
CAPE ROYALE,COVE WAY,04,Non-Landed Properties,3,"10,000",170 to 180,"1,900 to 2,000",Sep-23
THE TRILINQ,JALAN LEMPENG,05,Non-Landed Properties,1,"2,800",50 to 60,500 to 600,Sep-23
THE CLIFT,MCCALLUM STREET,01,Non-Landed Properties,1,"5,700",70 to 80,800 to 900,Sep-23
D' HILLSIDE LOFT,PASIR PANJANG HILL,05,Non-Landed Properties,2,"4,100",90 to 100,"1,000 to 1,100",Sep-23
WALLICH RESIDENCE,WALLICH STREET,02,Non-Landed Properties,4,"19,000",160 to 170,"1,700 to 1,800",Sep-23
WEST BAY CONDOMINIUM,WEST COAST CRESCENT,05,Non-Landed Properties,3,"4,600",130 to 140,"1,400 to 1,500",Sep-23
TANJONG PAGAR COMPLEX,KEPPEL ROAD,02,Non-Landed Properties,2,"2,096",60 to 70,600 to 700,Sep-23
CENTRAL GREEN CONDOMINIUM,JALAN MEMBINA,03,Non-Landed Properties,3,"6,800",120 to 130,"1,200 to 1,300",Sep-23
RIVIERE,JIAK KIM STREET,03,Non-Landed Properties,3,"9,800",110 to 120,"1,200 to 1,300",Sep-23
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,3,"5,800",80 to 90,"900 to 1,000",Sep-23
EMERALD GARDEN,CLUB STREET,01,Non-Landed Properties,3,"5,000",120 to 130,"1,300 to 1,400",Sep-23
SEAHILL,WEST COAST CRESCENT,05,Non-Landed Properties,3,"6,000",90 to 100,"1,000 to 1,100",Sep-23
TANJONG PAGAR COMPLEX,KEPPEL ROAD,02,Non-Landed Properties,3,"4,592",150 to 160,"1,600 to 1,700",Sep-23
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"4,800",60 to 70,600 to 700,Sep-23
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"4,000",50 to 60,500 to 600,Sep-23
SEASCAPE,COVE WAY,04,Non-Landed Properties,4,"14,500",310 to 320,"3,300 to 3,400",Sep-23
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,Non-Landed Properties,4,"19,000",220 to 230,"2,300 to 2,400",Sep-23
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,2,"7,000",90 to 100,"1,000 to 1,100",Sep-23
PEOPLE'S PARK COMPLEX,PARK ROAD,01,Non-Landed Properties,1,"2,000",30 to 40,400 to 500,Sep-23
ALTEZ,ENGGOR STREET,02,Non-Landed Properties,3,"10,000",140 to 150,"1,500 to 1,600",Sep-23
ALTEZ,ENGGOR STREET,02,Non-Landed Properties,2,"8,950",100 to 110,"1,100 to 1,200",Sep-23
CRAIG PLACE,CRAIG ROAD,02,Non-Landed Properties,1,"4,000",50 to 60,500 to 600,Sep-23
EMERALD GARDEN,CLUB STREET,01,Non-Landed Properties,3,"5,200",120 to 130,"1,300 to 1,400",Sep-23
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"5,000",60 to 70,600 to 700,Sep-23
INTERNATIONAL PLAZA,ANSON ROAD,02,Non-Landed Properties,NA,"5,300",80 to 90,"900 to 1,000",Sep-23
PEOPLE'S PARK CENTRE,UPPER CROSS STREET,01,Non-Landed Properties,4,"6,500",210 to 220,"2,200 to 2,300",Sep-23
ICON,GOPENG STREET,02,Non-Landed Properties,1,"5,500",70 to 80,700 to 800,Sep-23
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,2,"5,200",70 to 80,800 to 900,Sep-23
THE CLIFT,MCCALLUM STREET,01,Non-Landed Properties,2,"4,500",70 to 80,700 to 800,Sep-23
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,3,"6,000",80 to 90,"900 to 1,000",Sep-23
ONE-NORTH RESIDENCES,ONE-NORTH GATEWAY,05,Non-Landed Properties,1,"4,000",50 to 60,500 to 600,Sep-23
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,2,"7,400",100 to 110,"1,100 to 1,200",Sep-23
QUEENS PEAK,DUNDEE ROAD,03,Non-Landed Properties,1,"3,750",40 to 50,400 to 500,Sep-23
THE CLIFT,MCCALLUM STREET,01,Non-Landed Properties,2,"5,500",70 to 80,800 to 900,Sep-23
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,2,"5,000",60 to 70,600 to 700,Sep-23
TURQUOISE,COVE DRIVE,04,Non-Landed Properties,5,"16,250",640 to 650,"6,900 to 7,000",Sep-23
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,1,"3,900",40 to 50,400 to 500,Sep-23
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,OCEAN WAY,04,Non-Landed Properties,2,"7,800",110 to 120,"1,200 to 1,300",Sep-23
SPOTTISWOODE PARK,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,NA,"3,900",110 to 120,"1,200 to 1,300",Sep-23
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,OCEAN WAY,04,Non-Landed Properties,4,"13,200",190 to 200,"2,000 to 2,100",Sep-23
BUONA VISTA GARDENS,ZEHNDER ROAD,05,Non-Landed Properties,3,"7,300",200 to 210,"2,100 to 2,200",Sep-23
THE BEACON,CANTONMENT ROAD,02,Non-Landed Properties,2,"5,500",90 to 100,"900 to 1,000",Sep-23
THE METROPOLITAN CONDOMINIUM,ALEXANDRA VIEW,03,Non-Landed Properties,4,"6,500",170 to 180,"1,800 to 1,900",Sep-23
THE ROCHESTER RESIDENCES,ROCHESTER DRIVE,05,Non-Landed Properties,3,"9,500",150 to 160,"1,600 to 1,700",Sep-23
THE PARC CONDOMINIUM,WEST COAST WALK,05,Non-Landed Properties,3,"5,500",120 to 130,"1,200 to 1,300",Sep-23
ROBINSON SUITES,ROBINSON ROAD,01,Non-Landed Properties,1,"3,800",40 to 50,400 to 500,Sep-23
SKYSUITES@ANSON,ENGGOR STREET,02,Non-Landed Properties,NA,"3,800",30 to 40,300 to 400,Sep-23
ICON,GOPENG STREET,02,Non-Landed Properties,1,"4,300",50 to 60,500 to 600,Sep-23
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,3,"7,500",110 to 120,"1,200 to 1,300",Sep-23
DOVER PARKVIEW,DOVER RISE,05,Non-Landed Properties,2,"4,200",80 to 90,"900 to 1,000",Sep-23
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,1,"3,400",40 to 50,400 to 500,Sep-23
CAPE ROYALE,COVE WAY,04,Non-Landed Properties,4,"20,000",230 to 240,"2,500 to 2,600",Sep-23
HIGHLINE RESIDENCES,KIM TIAN ROAD,03,Non-Landed Properties,1,"4,200",40 to 50,500 to 600,Sep-23
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,1,"2,900",60 to 70,600 to 700,Sep-23
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,2,"6,100",100 to 110,"1,000 to 1,100",Sep-23
PARC RIVIERA,WEST COAST VALE,05,Non-Landed Properties,2,"4,200",60 to 70,700 to 800,Sep-23
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,3,"8,800",150 to 160,"1,600 to 1,700",Sep-23
TWIN REGENCY,KIM TIAN ROAD,03,Non-Landed Properties,4,"9,500",160 to 170,"1,700 to 1,800",Sep-23
QUEENS PEAK,DUNDEE ROAD,03,Non-Landed Properties,2,"5,200",70 to 80,700 to 800,Sep-23
PASIR VIEW PARK,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"4,800",120 to 130,"1,300 to 1,400",Sep-23
SKYLINE RESIDENCES,TELOK BLANGAH ROAD,04,Non-Landed Properties,1,"3,700",40 to 50,400 to 500,Sep-23
VARSITY PARK CONDOMINIUM,WEST COAST ROAD,05,Non-Landed Properties,2,"6,000",120 to 130,"1,300 to 1,400",Sep-23
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,1,"4,150",40 to 50,500 to 600,Sep-23
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,2,"9,600",100 to 110,"1,100 to 1,200",Sep-23
EMERALD PARK,INDUS ROAD,03,Non-Landed Properties,2,"4,200",90 to 100,"1,000 to 1,100",Sep-23
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,Non-Landed Properties,5,"100,000","1,020 to 1,030","11,000 to 11,100",Sep-23
SEVEN PALMS SENTOSA COVE,COVE DRIVE,04,Non-Landed Properties,2,"25,000",310 to 320,"3,400 to 3,500",Sep-23
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,OCEAN WAY,04,Non-Landed Properties,3,"11,000",180 to 190,"1,900 to 2,000",Sep-23
DOVER PARKVIEW,DOVER RISE,05,Non-Landed Properties,3,"5,800",110 to 120,"1,200 to 1,300",Sep-23
SPOTTISWOODE 18,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"3,500",30 to 40,300 to 400,Sep-23
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"4,200",60 to 70,600 to 700,Sep-23
VARSITY PARK CONDOMINIUM,WEST COAST ROAD,05,Non-Landed Properties,3,"6,500",130 to 140,"1,400 to 1,500",Sep-23
VILLA DE WEST,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"5,000",120 to 130,"1,300 to 1,400",Sep-23
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,2,"5,100",60 to 70,700 to 800,Sep-23
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,1,"3,600",40 to 50,500 to 600,Sep-23
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,3,"8,800",140 to 150,"1,500 to 1,600",Sep-23
ICON,GOPENG STREET,02,Non-Landed Properties,1,"4,500",50 to 60,500 to 600,Sep-23
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,1,"3,500",40 to 50,400 to 500,Sep-23
TURQUOISE,COVE DRIVE,04,Non-Landed Properties,3,"9,500",190 to 200,"2,100 to 2,200",Sep-23
PEOPLE'S PARK COMPLEX,PARK ROAD,01,Non-Landed Properties,1,"2,100",40 to 50,400 to 500,Sep-23
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,3,"7,100",80 to 90,"900 to 1,000",Sep-23
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"6,000",60 to 70,700 to 800,Sep-23
REGENT PARK,JALAN LEMPENG,05,Non-Landed Properties,3,"4,800",100 to 110,"1,100 to 1,200",Sep-23
HERITAGE VIEW,DOVER RISE,05,Non-Landed Properties,4,"9,500",240 to 250,"2,600 to 2,700",Sep-23
THE FORESTA @ MOUNT FABER,WISHART ROAD,04,Non-Landed Properties,1,"3,100",40 to 50,400 to 500,Sep-23
BUONA LODGE,ZEHNDER ROAD,05,Non-Landed Properties,NA,"4,500",150 to 160,"1,600 to 1,700",Sep-23
RIVERWALK APARTMENTS,UPPER CIRCULAR ROAD,01,Non-Landed Properties,2,"7,000",110 to 120,"1,200 to 1,300",Sep-23
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,3,"8,000",140 to 150,"1,500 to 1,600",Sep-23
THE FORESTA @ MOUNT FABER,WISHART ROAD,04,Non-Landed Properties,2,"4,500",70 to 80,800 to 900,Sep-23
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,2,"6,000",80 to 90,800 to 900,Sep-23
THE METROPOLITAN CONDOMINIUM,ALEXANDRA VIEW,03,Non-Landed Properties,3,"6,600",130 to 140,"1,400 to 1,500",Sep-23
ROBINSON SUITES,ROBINSON ROAD,01,Non-Landed Properties,1,"4,000",40 to 50,400 to 500,Sep-23
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,2,"7,300",90 to 100,"1,000 to 1,100",Sep-23
QUEENS PEAK,DUNDEE ROAD,03,Non-Landed Properties,2,"4,700",70 to 80,700 to 800,Sep-23
ONE SHENTON,SHENTON WAY,01,Non-Landed Properties,2,"7,200",100 to 110,"1,000 to 1,100",Sep-23
THE CLIFT,MCCALLUM STREET,01,Non-Landed Properties,2,"5,700",70 to 80,700 to 800,Sep-23
THE BERTH BY THE COVE,OCEAN DRIVE,04,Non-Landed Properties,3,"8,500",180 to 190,"2,000 to 2,100",Sep-23
THE SAIL @ MARINA BAY,MARINA BOULEVARD,01,Non-Landed Properties,1,"4,500",60 to 70,600 to 700,Sep-23
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,1,"4,000",40 to 50,400 to 500,Sep-23
SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,2,"6,000",80 to 90,"900 to 1,000",Sep-23
VARSITY PARK CONDOMINIUM,WEST COAST ROAD,05,Non-Landed Properties,3,"6,500",120 to 130,"1,200 to 1,300",Sep-23
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,4,"9,000",190 to 200,"2,000 to 2,100",Sep-23
SEAHILL,WEST COAST CRESCENT,05,Non-Landed Properties,1,"4,000",60 to 70,700 to 800,Sep-23
THE FORESTA @ MOUNT FABER,WISHART ROAD,04,Non-Landed Properties,1,"3,300",40 to 50,400 to 500,Sep-23
REGENT PARK,JALAN LEMPENG,05,Non-Landed Properties,3,"4,800",100 to 110,"1,100 to 1,200",Sep-23
RIVIERE,JIAK KIM STREET,03,Non-Landed Properties,4,"17,000",180 to 190,"2,000 to 2,100",Sep-23
LUMIERE,MISTRI ROAD,02,Non-Landed Properties,NA,"3,200",40 to 50,500 to 600,Sep-23
REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,04,Non-Landed Properties,3,"7,500",100 to 110,"1,100 to 1,200",Sep-23
CENTRAL GREEN CONDOMINIUM,JALAN MEMBINA,03,Non-Landed Properties,3,"5,700",120 to 130,"1,300 to 1,400",Sep-23
THE RESIDENCES AT W SINGAPORE SENTOSA COVE,OCEAN WAY,04,Non-Landed Properties,2,"8,000",110 to 120,"1,200 to 1,300",Sep-23
EMERALD PARK,INDUS ROAD,03,Non-Landed Properties,3,"5,000",100 to 110,"1,000 to 1,100",Sep-23
CLEMENTIWOODS CONDOMINIUM,WEST COAST ROAD,05,Non-Landed Properties,3,"6,500",140 to 150,"1,500 to 1,600",Sep-23
SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,3,"4,600",70 to 80,700 to 800,Sep-23
SPOTTISWOODE 18,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,1,"3,100",30 to 40,300 to 400,Sep-23
THE ROCHESTER RESIDENCES,ROCHESTER DRIVE,05,Non-Landed Properties,1,"4,300",80 to 90,800 to 900,Sep-23
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,1,"3,600",40 to 50,400 to 500,Sep-23
STIRLING RESIDENCES,STIRLING ROAD,03,Non-Landed Properties,1,"4,500",40 to 50,500 to 600,Sep-23
THE PARC CONDOMINIUM,WEST COAST WALK,05,Non-Landed Properties,3,"7,500",130 to 140,"1,400 to 1,500",Sep-23
ARTRA,ALEXANDRA VIEW,03,Non-Landed Properties,2,"6,200",70 to 80,700 to 800,Sep-23
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,3,"7,800",140 to 150,"1,500 to 1,600",Sep-23
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,3,"7,000",100 to 110,"1,100 to 1,200",Sep-23
WALLICH RESIDENCE,WALLICH STREET,02,Non-Landed Properties,3,"14,000",120 to 130,"1,300 to 1,400",Sep-23
SPOTTISWOODE SUITES,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,2,"4,300",50 to 60,500 to 600,Sep-23
CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,04,Non-Landed Properties,2,"5,600",80 to 90,"900 to 1,000",Sep-23
COMMONWEALTH TOWERS,COMMONWEALTH AVENUE,03,Non-Landed Properties,1,"3,800",40 to 50,400 to 500,Sep-23
MENDON SPRING,PASIR PANJANG ROAD,05,Non-Landed Properties,2,"4,400",90 to 100,"1,000 to 1,100",Sep-23
FABER CREST,FABER HEIGHTS,05,Non-Landed Properties,4,"5,300",190 to 200,"2,000 to 2,100",Sep-23
KENT RIDGE HILL RESIDENCES,SOUTH BUONA VISTA ROAD,05,Non-Landed Properties,1,"3,900",40 to 50,400 to 500,Sep-23
CAPE ROYALE,COVE WAY,04,Non-Landed Properties,3,"9,400",170 to 180,"1,900 to 2,000",Sep-23
CLEMENTIWOODS CONDOMINIUM,WEST COAST ROAD,05,Non-Landed Properties,2,"4,700",90 to 100,"1,000 to 1,100",Sep-23
THE INTERLACE,DEPOT ROAD,04,Non-Landed Properties,2,"5,500",90 to 100,"1,000 to 1,100",Sep-23
THE CLIFT,MCCALLUM STREET,01,Non-Landed Properties,1,"5,600",70 to 80,800 to 900,Sep-23
HARBOURLIGHTS,TELOK BLANGAH ROAD,04,Non-Landed Properties,2,"4,200",80 to 90,800 to 900,Sep-23
RIVIERE,JIAK KIM STREET,03,Non-Landed Properties,3,"9,200",110 to 120,"1,200 to 1,300",Sep-23
ONE-NORTH RESIDENCES,ONE-NORTH GATEWAY,05,Non-Landed Properties,2,"6,000",180 to 190,"1,900 to 2,000",Sep-23
VARSITY PARK CONDOMINIUM,WEST COAST ROAD,05,Non-Landed Properties,3,"6,800",130 to 140,"1,400 to 1,500",Sep-23
TIONG BAHRU ESTATE,GUAN CHUAN STREET,03,Non-Landed Properties,NA,"7,000",80 to 90,"900 to 1,000",Sep-23
MOUNT FABER LODGE,MOUNT FABER ROAD,04,Non-Landed Properties,5,"12,000",340 to 350,"3,700 to 3,800",Sep-23
THE ANCHORAGE,ALEXANDRA ROAD,03,Non-Landed Properties,2,"4,850",100 to 110,"1,100 to 1,200",Sep-23
ONE SHENTON,SHENTON WAY,01,Non-Landed Properties,2,"7,600",100 to 110,"1,000 to 1,100",Sep-23
MARINA ONE RESIDENCES,MARINA WAY,01,Non-Landed Properties,1,"5,000",60 to 70,600 to 700,Sep-23
QUEENS PEAK,DUNDEE ROAD,03,Non-Landed Properties,3,"6,350",90 to 100,"1,000 to 1,100",Sep-23
ICON,GOPENG STREET,02,Non-Landed Properties,1,"4,000",50 to 60,500 to 600,Sep-23
AVENUE SOUTH RESIDENCE,SILAT AVENUE,03,Non-Landed Properties,2,"5,100",60 to 70,700 to 800,Sep-23
SPOTTISWOODE PARK,SPOTTISWOODE PARK ROAD,02,Non-Landed Properties,NA,"4,200",110 to 120,"1,200 to 1,300",Sep-23
WEST PARK REGENCY,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"3,500",90 to 100,"1,000 to 1,100",Sep-23
PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT,03,Non-Landed Properties,4,"10,700",140 to 150,"1,500 to 1,600",Sep-23
THE CLEMENT CANOPY,CLEMENTI AVENUE 1,05,Non-Landed Properties,3,"6,200",100 to 110,"1,100 to 1,200",Sep-23
THE ESTRELLA,PASIR PANJANG ROAD,05,Non-Landed Properties,3,"5,200",150 to 160,"1,600 to 1,700",Sep-23
MARINA BAY RESIDENCES,MARINA BOULEVARD,01,Non-Landed Properties,2,"8,800",110 to 120,"1,200 to 1,300",Sep-23
THE OCEANFRONT @ SENTOSA COVE,OCEAN DRIVE,04,Non-Landed Properties,4,"21,500",280 to 290,"3,000 to 3,100",Sep-23
THE METROPOLITAN CONDOMINIUM,ALEXANDRA VIEW,03,Non-Landed Properties,3,"7,700",160 to 170,"1,700 to 1,800",Sep-23
